resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-create-publicvm","7640774","7640773","7640729","2013-03-26T13:33:57.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","openstack-create-publicvm","7640864","7640863","7640818","2013-03-26T13:44:10.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.196505 s ping 30.019142 s warnings 1 ssh 30.947776 s destroy 0.603195 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7641199","7641197","7641142","2013-03-26T14:28:36.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.218582 s ping 30.032469 s warnings 1 ssh 30.957773 s destroy 0.585014 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7641402","7641401","7641142","2013-03-26T14:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.262622 s ping 30.03118 s warnings 1 ssh 30.97004 s destroy 0.594447 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7642372","7642371","7641142","2013-03-26T17:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.305757 s ping 30.032927 s warnings 1 ssh 31.069613 s destroy 0.556932 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7643331","7643330","7641142","2013-03-26T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.208865 s ping 30.033114 s warnings 1 ssh 30.968695 s destroy 0.588826 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7644299","7644298","7641142","2013-03-26T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.194696 s ping 30.03362 s warnings 1 ssh 30.901553 s destroy 0.597529 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7645263","7645262","7641142","2013-03-27T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.27522 s ping 30.028366 s warnings 1 ssh 30.916658 s destroy 0.557031 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7646217","7646216","7641142","2013-03-27T05:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.25317 s ping 30.044012 s warnings 1 ssh 30.954639 s destroy 0.586667 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7647184","7647183","7641142","2013-03-27T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.213048 s ping 30.033734 s warnings 1 ssh 30.952443 s destroy 0.630491 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7648127","7648126","7641142","2013-03-27T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.409578 s ping 30.031787 s warnings 1 ssh 30.983044 s destroy 0.65301 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7649082","7649081","7641142","2013-03-27T14:56:37.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 92.585209 s ping 30.033011 s warnings 1 ssh 30.919693 s destroy 0.561321 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7650038","7650037","7641142","2013-03-27T17:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.274003 s ping 30.032681 s warnings 1 ssh 30.9704 s destroy 0.56029 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7650991","7650990","7641142","2013-03-27T20:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.298497 s ping 30.03407 s warnings 1 ssh 31.001412 s destroy 0.582831 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7651953","7651952","7641142","2013-03-27T23:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.23404 s ping 30.032466 s warnings 1 ssh 30.932058 s destroy 0.541574 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7652915","7652914","7641142","2013-03-28T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.236452 s ping 30.033809 s warnings 1 ssh 31.002228 s destroy 0.555562 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7653865","7653864","7641142","2013-03-28T05:56:08.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.26084 s ping 30.037633 s warnings 1 ssh 31.051245 s destroy 0.570668 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7654825","7654824","7641142","2013-03-28T08:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.224783 s ping 30.035155 s warnings 1 ssh 30.97969 s destroy 0.572416 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7655770","7655769","7641142","2013-03-28T11:56:08.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.446517 s ping 30.027713 s warnings 1 ssh 31.450191 s destroy 0.580343 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7656727","7656726","7641142","2013-03-28T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.323192 s ping 30.032182 s warnings 1 ssh 31.004879 s destroy 0.579879 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7657691","7657690","7641142","2013-03-28T17:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.274564 s ping 30.032112 s warnings 1 ssh 31.016234 s destroy 0.555432 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7658647","7658645","7641142","2013-03-28T20:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.191321 s ping 30.033414 s warnings 1 ssh 31.066521 s destroy 0.539229 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7659601","7659599","7641142","2013-03-28T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.174396 s ping 30.033329 s warnings 1 ssh 30.97318 s destroy 0.574602 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7660571","7660570","7641142","2013-03-29T02:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.65407 s ping 30.021341 s warnings 1 ssh 31.024709 s destroy 0.580127 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7661511","7661510","7641142","2013-03-29T05:56:08.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.312336 s ping 30.042683 s warnings 1 ssh 31.105515 s destroy 0.905222 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7662476","7662475","7641142","2013-03-29T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.224332 s ping 30.033586 s warnings 1 ssh 31.010032 s destroy 0.571502 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7663428","7663427","7641142","2013-03-29T11:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.343868 s ping 30.034857 s warnings 1 ssh 31.005083 s destroy 0.56355 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7664380","7664378","7641142","2013-03-29T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.222989 s ping 30.034033 s warnings 1 ssh 31.014473 s destroy 0.521682 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7665338","7665337","7641142","2013-03-29T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.19398 s ping 30.02974 s warnings 1 ssh 31.08428 s destroy 0.589636 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7666297","7666295","7641142","2013-03-29T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.197437 s ping 30.033782 s warnings 1 ssh 30.97112 s destroy 0.563169 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7667250","7667249","7641142","2013-03-29T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.202466 s ping 30.033509 s warnings 1 ssh 31.024138 s destroy 0.674834 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7668215","7668214","7641142","2013-03-30T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.264793 s ping 30.034558 s warnings 1 ssh 30.949714 s destroy 0.594725 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7669167","7669166","7641142","2013-03-30T05:56:11.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 63.937273 s ping 30.045805 s warnings 1 ssh 30.998402 s destroy 2.298879 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7670130","7670129","7641142","2013-03-30T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.156518 s ping 30.033917 s warnings 1 ssh 31.033486 s destroy 0.655613 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7671066","7671065","7641142","2013-03-30T11:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.199615 s ping 30.033924 s warnings 1 ssh 30.965191 s destroy 0.568406 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7671957","7671956","7641142","2013-03-30T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.185828 s ping 30.029504 s warnings 1 ssh 30.975091 s destroy 0.568328 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7672910","7672909","7641142","2013-03-30T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.266893 s ping 30.031883 s warnings 1 ssh 30.992588 s destroy 0.570506 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7673868","7673867","7641142","2013-03-30T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.199997 s ping 30.033594 s warnings 1 ssh 30.985337 s destroy 0.556177 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7674824","7674823","7641142","2013-03-30T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.199916 s ping 30.02916 s warnings 1 ssh 31.066398 s destroy 0.598663 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7675797","7675796","7641142","2013-03-31T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.23649 s ping 30.033491 s warnings 1 ssh 30.967215 s destroy 0.554675 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7676740","7676739","7641142","2013-03-31T05:56:08.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.437908 s ping 30.048546 s warnings 1 ssh 31.056774 s destroy 0.666731 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7677696","7677695","7641142","2013-03-31T08:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.325655 s ping 30.029569 s warnings 1 ssh 31.016591 s destroy 0.650967 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7678636","7678635","7641142","2013-03-31T11:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.220475 s ping 30.033583 s warnings 1 ssh 31.034988 s destroy 0.573448 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7679587","7679586","7641142","2013-03-31T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.28944 s ping 30.033199 s warnings 1 ssh 31.093931 s destroy 0.619929 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7680543","7680542","7641142","2013-03-31T17:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.211437 s ping 30.034809 s warnings 1 ssh 30.99587 s destroy 0.577797 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7681502","7681501","7641142","2013-03-31T20:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.278775 s ping 30.034491 s warnings 1 ssh 31.060192 s destroy 0.639383 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7682456","7682455","7641142","2013-03-31T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.19336 s ping 30.032183 s warnings 1 ssh 31.00092 s destroy 0.625329 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7683419","7683418","7641142","2013-04-01T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.329678 s ping 30.034814 s warnings 1 ssh 31.020657 s destroy 0.591117 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7684376","7684375","7641142","2013-04-01T05:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.342223 s ping 31.257136 s warnings 1 ssh 31.014266 s destroy 0.753502 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7685345","7685344","7641142","2013-04-01T08:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.291592 s ping 30.031989 s warnings 1 ssh 30.995452 s destroy 1.852139 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7686291","7686290","7641142","2013-04-01T11:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 63.321859 s ping 30.533214 s warnings 1 ssh 31.817211 s destroy 0.682707 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7687247","7687246","7641142","2013-04-01T14:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.129652 s ping 30.031929 s warnings 1 ssh 30.968628 s destroy 0.56173 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7688219","7688218","7641142","2013-04-01T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.173055 s ping 30.03108 s warnings 1 ssh 30.98928 s destroy 0.626017 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7689181","7689180","7641142","2013-04-01T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.33836 s ping 30.033753 s warnings 1 ssh 31.04093 s destroy 0.557588 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7690140","7690139","7641142","2013-04-01T23:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.247824 s ping 30.033413 s warnings 1 ssh 31.060607 s destroy 0.664471 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7691103","7691102","7641142","2013-04-02T02:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.296813 s ping 30.031755 s warnings 1 ssh 30.978774 s destroy 0.595286 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7692079","7692078","7641142","2013-04-02T05:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.292527 s ping 30.044208 s warnings 1 ssh 31.044033 s destroy 0.64601 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7693024","7693023","7641142","2013-04-02T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.262983 s ping 30.033092 s warnings 1 ssh 31.001732 s destroy 0.57222 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7693829","7693828","7641142","2013-04-02T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.425057 s ping 30.035122 s warnings 1 ssh 30.998334 s destroy 0.559986 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7694600","7694599","7641142","2013-04-02T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.364527 s ping 30.031991 s warnings 1 ssh 30.98604 s destroy 0.557665 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7695269","7695268","7641142","2013-04-02T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.267846 s ping 30.045325 s warnings 1 ssh 30.978523 s destroy 0.61137 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7695920","7695919","7641142","2013-04-02T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.315375 s ping 30.040925 s warnings 1 ssh 31.023142 s destroy 0.545609 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7696584","7696583","7641142","2013-04-02T23:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.340678 s ping 30.046276 s warnings 1 ssh 33.283329 s destroy 0.572759 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7697250","7697249","7641142","2013-04-03T02:56:11.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 64.051322 s ping 30.044448 s warnings 1 ssh 31.024753 s destroy 2.889246 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7697898","7697897","7641142","2013-04-03T05:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.319186 s ping 30.044216 s warnings 1 ssh 30.978775 s destroy 0.892331 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7698558","7698557","7641142","2013-04-03T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.223142 s ping 30.034258 s warnings 1 ssh 30.998218 s destroy 0.611916 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7699424","7699423","7641142","2013-04-03T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.240949 s ping 30.025959 s warnings 1 ssh 30.98204 s destroy 0.65925 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7700333","7700332","7641142","2013-04-03T14:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.390735 s ping 30.033345 s warnings 1 ssh 31.020164 s destroy 0.567721 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7701259","7701258","7641142","2013-04-03T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.24032 s ping 30.03507 s warnings 1 ssh 31.026985 s destroy 0.558969 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7702183","7702182","7641142","2013-04-03T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.314763 s ping 30.034702 s warnings 1 ssh 30.980354 s destroy 0.596869 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7703105","7703104","7641142","2013-04-03T23:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.479205 s ping 30.028351 s warnings 1 ssh 30.985099 s destroy 0.604056 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7704041","7704040","7641142","2013-04-04T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.199918 s ping 30.033132 s warnings 1 ssh 31.002166 s destroy 0.58015 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7704943","7704942","7641142","2013-04-04T05:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.296111 s ping 30.039319 s warnings 1 ssh 30.998453 s destroy 1.984558 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7705862","7705861","7641142","2013-04-04T08:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.298682 s ping 30.033327 s warnings 1 ssh 31.039463 s destroy 0.562935 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7706766","7706765","7641142","2013-04-04T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.31913 s ping 30.03341 s warnings 1 ssh 30.945386 s destroy 0.586475 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7707684","7707683","7641142","2013-04-04T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.421167 s ping 30.033503 s warnings 1 ssh 30.913605 s destroy 0.564983 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7708597","7708596","7641142","2013-04-04T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.255659 s ping 30.033489 s warnings 1 ssh 30.981295 s destroy 0.646702 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7709471","7709470","7641142","2013-04-04T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.261991 s ping 30.033287 s warnings 1 ssh 30.969885 s destroy 0.567565 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7710384","7710383","7641142","2013-04-04T23:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.225343 s ping 30.033024 s warnings 1 ssh 30.946759 s destroy 0.572611 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7711291","7711290","7641142","2013-04-05T02:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.329965 s ping 30.034254 s warnings 1 ssh 31.027618 s destroy 0.573388 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7712173","7712172","7641142","2013-04-05T05:56:10.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.258766 s ping 30.031112 s warnings 1 ssh 31.015173 s destroy 2.992129 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7713076","7713075","7641142","2013-04-05T08:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.614791 s ping 30.035761 s warnings 1 ssh 30.983719 s destroy 0.60947 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7713988","7713987","7641142","2013-04-05T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.396089 s ping 30.033071 s warnings 1 ssh 30.988021 s destroy 0.592855 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7714905","7714904","7641142","2013-04-05T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.369242 s ping 30.035244 s warnings 1 ssh 30.960911 s destroy 0.580546 s","Success"
